Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
2021-04-17,ID-MA,Maluku,13,0,13,0,7473,116,7015,342,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2.0,118,35.0,1198.0,46914,1847097,39.37,129.576792,-3.192572,7.04,4045.81,0.0,62.8,6.28,1.55%,93.87%,2.6,1.0
2022-06-19,ID-JA,Jambi,0,0,3,-3,38270,881,37387,2,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2.0,141,163.0,1399.0,50058,3493357,69.79,102.7236404,-1.69769766,0.0,10955.08,0.0,252.19,25.22,2.30%,97.69%,1.0,1.0
2022-03-03,ID-BA,Bali,172,2,138,32,153418,4446,142991,5981,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1.0,57,80.0,636.0,5780,4216171,729.43,115.1317136,-8.369471688,40.8,36387.99,0.47,1054.51,105.45,2.90%,93.20%,0.56,0.12
2022-05-18,ID-KB,Kalimantan Barat,1,0,0,1,64662,1128,63506,28,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2.0,174,99.0,2031.0,147307,5422814,36.81,111.1211776,-0.086474572,0.18,11924.07,0.0,208.01,20.8,1.74%,98.21%,,1.0
2020-11-27,ID-KT,Kalimantan Tengah,86,4,57,25,5689,191,4583,915,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1.0,136,139.0,1432.0,153565,2570289,16.74,113.4176536,-1.602484653,33.46,2213.37,1.56,74.31,7.43,3.36%,80.56%,1.76,1.33
2021-08-27,ID-JK,DKI Jakarta,635,9,353,273,848901,13258,827626,8017,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,58.55,78267.53,0.83,1222.37,122.24,1.56%,97.49%,1.11,0.9
2020-11-30,ID-JA,Jambi,30,0,22,8,1943,38,1334,571,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2.0,141,163.0,1399.0,50058,3493357,69.79,102.7236404,-1.69769766,8.59,556.2,0.0,10.88,1.09,1.96%,68.66%,0.65,1.0
2022-06-13,ID-SG,Sulawesi Tenggara,1,0,0,1,25599,567,25022,10,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.38,9713.29,0.0,215.14,21.51,2.21%,97.75%,,1.0
2020-12-17,ID-KT,Kalimantan Tengah,95,0,99,-4,8214,196,4974,3044,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1.0,136,139.0,1432.0,153565,2570289,16.74,113.4176536,-1.602484653,36.96,3195.75,0.0,76.26,7.63,2.39%,60.56%,,1.0
2021-03-17,ID-YO,Daerah Istimewa Yogyakarta,270,1,74,195,30697,739,25123,4835,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,74.36,8454.11,0.28,203.52,20.35,2.41%,81.84%,1.59,0.17
